CATEGORY : ARCHITECTURAL SERVICES ,,,,,,
company name ,phone number,email ,instagram ,city ,person of contact ,contact 
STUDIOMARS,8628987647,samragisharma22@gmail.com,samragisharma,Dalhousie,Ar. Samragi Sharma,verified 
,,,,,,
CATEGORY : CREATE ART(ALL TYPES AND MEDIUMS ,,,,,,
company name ,phone number,email ,instagram ,city ,person of contact ,contact 
The Secret Garden,7018406040,tsgthesecretgarden23@gmail.com,the_secret_garden23,Solan,Poonam Rungta,verified 
,,,,,,
CATEGORY : INTERIOR DESIGNING SERVICES ,,,,,,
company name ,phone number,email ,instagram ,city ,person of contact ,contact 
STUDIOMARS,8628987647,samragisharma22@gmail.com,samragisharma,Dalhousie,Ar. Samragi Sharma,verified 
The Secret Garden,7018406040,tsgthesecretgarden23@gmail.com,the_secret_garden23,Solan,Poonam Rungta,verified 
,,,,,,
CATEGORY : LANDSCAPING SERVICES ,,,,,,
company name ,phone number,email ,instagram ,city ,person of contact ,contact 
STUDIOMARS,8628987647,samragisharma22@gmail.com,samragisharma,Dalhousie,Ar. Samragi Sharma,verified 
